route,route_id,origin_destination
16A/47V,1075,ECIL TO VBIT
1P/25S,1080,SUCHITRA TO KOTI
1P/25S,1081,KOTI TO SUCHITRA
5R,1082,MEHDIPATNAM TO HAKIMPET DEPOT
8R,1086,RISALA BAZAR TO CBS
21/107S,1091,SAROOR NAGAR TO HAKIM
21W/107J,1092,WEST VENKATAPURAM TO DSNR
21W/107J,1093,DSNR TO WEST VENKATAPURAM
90L/25S,1103,SUCHITRA TO LB NAGAR RINGROAD
90L/25S,1104,LBNAGAR RINGROAD TO SUCHITRA
8R/25S,1105,SUCHITRA TO CBS
22/90L,1112,LB NAGAR TO HAKIMPET
22/90L,1113,HAKIMPET DEPOT TO KESHAVAGIRI
226,1116,SECENDRBAD TO LINGAMPALLY
25HA,1122,HAKIMPET TO INDHIRA STATUE
47L,1126,SECUNDERABAD TO KONDAPUR
47L,1127,KONDAPUR TO SECUNDERABAD
3HN,1128,AFZULGUNJ TO RAMPALLY
113A,1130,AG COLONY TO CHENGINCHERL
113K/Y,1132,BORABANDA TO CGCL DEPOT
113A,1133,CHEGICHERLA VILLAGE TO AG CLNY
10H/25S,1134,SUCHITRA TO KONDAPUR
10H/25S,1135,KONDAPUR TO SUCHITRA
107V/P,1139,DILSUKH NAGAR TO SECUNDERABAD
107J/P,1140,SAROOR NAGAR TO RETHIFILE BSTN
107J/P,1143,SECUNDERABAD TO SAROORNAGAR
8R/25M,1153,INDRAGANDHI STATUE TO CBS
18C,1164,CHOWDARIGUDA TO JBS
6H,1166,ECIL X ROAD TO TOLICHOWKI
10H/17H,1167,ECIL X ROAD TO KONDAPUR
3,1171,AFZULGUNJ TO RAJIVGRUHA KALPA
3H,1172,AFZULGUNJ TO KUSHAIGUDA
3H,1173,KUSHAIGUDA TO AFZULGUNJ
250E,1178,ECIL TO CHERLAPALLY
16A/10H,1179,FLAG STONE TO CHERLAPALLY
113KYH,1180,INFOTECH TO UPPAL
18C,1181,JBS TO CHOWDARIGUDA
113K/Y,1182,KONDAPUR TO CGCL DEPOT
10H/16A,1183,KONDAPUR TO CGCL DEPOT
10H/16A,1185,KONDAPUR TO CHERLAPALLY
6H,1186,TOLICHOWKI TO ECIL X ROAD
17HN,1188,ECIL X ROAD TO SECUNDERABAD
49M/250,1190,TOLICHOWKI TO CGCL DEPOT
49M/250,1191,TOLICHOWKI TO CHERLAPALLY
3,1192,RAJIVGRUHA KALPA TO AFZALGUNJ
3HN,1195,RAMPALLY TO AFZULGUNJ
17S,1203,SECUNDERABAD TO DAMMAYIGUDA
17D,1204,DAMMAYIGUDA TO SECUNDERABAD
158/272G,1211,LB NAGAR TO GANDIMYSAMMA XROAD
29R,1212,APURUPA COLONY TO SECUNDERABAD
29R,1214,SECUNDERABAD TO APURUPA COLONY
9K/272,1217,GANDIMAISAMMA TO CBS
49M/16A,1220,CHERLAPALLY TO MEHDIPATNAM
17H,1221,CHERLAPALLY TO MEHDIPATNAM
250E,1222,CHERLAPALLY TO ECIL X ROAD
5S,1227,MEHDIPATNAM TO DAMMAYIGUDA
5D,1228,DAMMAYIGUDA TO MEHDIPATNAM
17H,1229,MEHDIPATNAM TO CHERLAPALLY
49M/16A,1230,MEHDIPATNAM TO CHERLAPALLY
9M,1233,CHANDRAYANA GUTTA TO SANATHNA
113E,1235,ESI TO UPPAL
11W,1238,ESI TO WAVEWROCK
250C,1239,AFZALGUNJ TO CHENGIRCHARL
187D/L,1242,KPHB TEMPLE BUS STOP TO LB NAG
10H/L,1246,SECUNDERABAD TO LINGAMPALLY
113I/K,1247,KUKATPALLY TO UPPAL 113I/K
10H/L,1248,LINGAMPALLY TO SECUNDERABAD
10H/219,1252,SECUNDERABAD TO PATANCHERU
10H/219,1253,PATANCHERU TO SECUNDERABAD
10H/W,1255,SECUNDERABAD TO WAVEROCK
10/224,1256,MIYAPUR TO SECUNDERABAD
10H/W,1257,WAVEROCK TO SECUNDERABAD
10/224,1258,SECUNDERABAD TO MIYAPUR DEPOT1
16C/29R,1279,ECIL X ROAD TO APURUPA COLONY
126/300,1280,HAYATNAGAR TO JNTU
126/300,1283,JNTU TO HAYATNAGAR
156L,1287,LBNGARRINGROAD TO MEHDIPATNAM
156L,1288,MEHDIPATNAM TO LBNAGAR
186,1295,HAYAT NAGAR TO KUKATPALLY
216D,1296,DILSUKNAGAR TO LINGAMPALLY
216D,1297,LINGAMPALLY TO DILSUKNAGAR
216H,1298,HAYATNAGAR TO LINGAMPALLY
216H,1299,LINGAMPALLY TO HAYATNAGAR
225C,1304,CBS TO LINGAMPALLY
216L,1306,LB NAGAR TO LINGAMPALLY
225L/299,1309,LINGAMPALLY TO HAYAT NAGAR
225L/299,1310,HAYAT NAGAR TO LINGAMPALLY
225V/L,1311,LINGAMPALLY TO NGOS COLONY
225V/L,1312,NGOS COLONY TO LINGAMPALLY
299D,1313,HAYAT NAGAR TO DILSUKH NAGAR
299D,1314,DILSHUKNAGAR TO HYT NAGAR
31X,1319,PRASHANT NAGAR TO JNTU
158FB,1322,BNREDDY NAGAR TO BORABANDA
127KD,1324,DILSHUKNAGAR TO KONDAPUR
127KL,1325,KONDAPUR TO LINGAMPALLY
127KL,1326,LB NAGAR TO KONDAPUR
127K/222,1327,KONDAPUR TO LINGAMPALLY
127K/222,1328,LINGAMPALLY TO KONDAPUR
127KD,1329,KONDAPUR TO DILSHUKNAGAR
187DM,1330,KPHB MAIN ROAD TO NGOS COLONY
11W,1331,WAVE ROCK TO ESI
16A/219,1332,ECIL X ROAD TO PATANCHERUVU
16A/219,1335,PATANCHERU TO ECIL X ROAD
16C/29R,1338,APURUPA COLONY TO ECIL X ROAD
10K,1341,KUKATPALLY TO SECUNDERABAD
8C,1342,SECUNDERABAD TO CHANDRAYANAGUTTA
8C,1344,CHANDRAYANA GUTTA  TO SECUNDERABAD
9M,1345,SANATHNAGAR TO CHANDRAYANA GUT
113K/225,1347,UPPAL TO ESI
47V,1352,SECUNDERABAD TO VBIT
47V,1353,VBIT TO SECUNDERABAD
218H,1354,LINGAMPALLY TO HAYAT NAGAR
38X/10,1358,HANUMANPET TO SANATHNAGAR
38X,1359,SECU NDERABAD TO HANUMANPET
102,1361,LAB QUARTERS TO KOTI WMS CLG
102,1362,KOTI TO LAB QUARTERS
113A/280,1368,GITHAM TO UPPAL
113A/280,1370,MOTHINAGAR TO GITHAM
217AD,1372,PATANCHERU TO MIDANI DEPOT
10K,1376,SAFILGUDA TO KUKATPALLY
38X,1377,SECUNDERABAD TO SAFILGUDA
8X,1378,SECUNDERABAD TO RANIGUNJ
38H,1384,HANPET TO SECUNDERABAD
8X,1386,RANIGUNJ TO SAFILGUDA
16A,1387,ECIL X ROAD TO SECUNDERABAD
102D,1393,KOTI WOMENS COLLEGE TO MIDANI
102D,1394,MIDANI DEPOT TO KOTI WMNS CLG
102F,1396,FAROOQ NAGAR TO SECUNDERABAD
102F,1397,SECUNDERABAD TO FAROOQ NAGAR
102FN,1402,FAROOQ NAGAR TO KOTI WMS CLG
226L/229,1404,LINGAMPALLY TO MEDCHAL
226L/229,1405,MEDCHAL TO LINGAMPALLY
102FN,1406,KOTI WMNS CLG TO FAROOQ NAGAR
1202K,1407,CHANDRAYANA GUTTA TO KOTI
102K,1408,KOTI TO CHANDRAYAN GUTTA
102KD,1409,MIDANI DEPO TO CHADRAYANA GUTA
102KS,1410,RETHIFILE TO CHANDRAYANAGUTTA
102KS,1411,CHANDRAYANAGUTTA TO RETHIFILE
102L,1412,LAB QUARTERES TO MIDANI
102L,1413,MIDANI TO LAB QUARTERS
102C,1414,SECUNDERABAD TO BALAPUR
102C,1415,BALAPUR TO SECUNDERABAD
1P/251,1416,OLD ALWAL TO MSRD 2
190R,1417,AG COLONY TO RAMNAGAR
5/229,1419,MEDCHAL TO MEHDIPATNAM
5/229,1421,MEHDIPATNAM TO MEDCHAL
589,1424,SECUNDERABAD TO RAMAYANPET
3K,1426,KOTI TO KUSHAIGUDA
3K,1427,KUSHAIGUDA TO KOTI
589,1428,RAMAYANPET TO Secunderabad
251X,1436,AIRPORT TO JBS
190R,1437,RAMNAGAR TO AG COLONY
1C,1438,CBS TO SECUNDERABAD
1C,1440,SECUNDERABAD TO CBS
1DS,1441,MIDANI DEPOT TO SECUNDERABAD
1DS,1442,SECUNDERABAD TO MIDANI DEPOT
251X,1448,JBS TO AIRPORT
218KL,1449,LINGAMPALLY TO KUKATPALLY
218M,1450,LINGAMPALLY TO MIDANI DEPOT
156V/118,1451,NGOS TO WIPRO CIRCLE
156V/118,1453,DILSUKHNAGAR TO WIPRO CIRCLE
218MD,1454,MIDHANI DEPOT TO PATANCHERU
156/118,1455,WIPRO CIRCLE TO NGOS COLONY
127KH,1456,HAYATNAGAR TO KONDAPUR
201KH,1458,HAYATNAGAR TO KUNTLOOR
156/204,1459,MEHDIPATNAM TO SANGHI NAGAR
156/204,1460,SANGHI NAGAR TO MEHDIPATNAM
187D,1461,NGOS COLONY TO KPHB  MAIN ROAD
100DV,1464,NGOSCOLONY TO KOTI WOMENS CLG
100DV,1465,KOTI WOMENS CLG TO NGOS COLONY
127KA,1469,SAI NAGAR TO ALLWYN X ROADS
96L,1471,LB NAGAR TO DILSUKH NAGAR
96L,1472,DILSUKH NAGAR TO LB NAGAR
218MD,1475,PATANCHERU TO MIDHANI DEPOT
102MD,1478,BALAPUR TO MIDHANI DEPOT
102MD,1479,MIDHANI DEPOT TO BALAPUR
107VR,1480,DILSUKHNAGAR DP TO RETHIFILE
217D,1486,DILSUKHNAGAR DEPOT TO GITHAM
217D,1487,GITHAM TO DILSUKHNAGAR DEPOT
158,1488,DILSUKHNAGAR DEPOT SANATHNAGAR
158,1489,SANATHNAGAR TO DILSUKHNAGAR DE
218BL,1490,BADANGPET TO LINGAMPALLY
102X,1491,BADANGPET TO MIDANI DEPOT
102X,1492,MIDHANI DEPOT TO BADANGPET
218BL,1493,LINGAMPALLY TO BADANGPET
19K/288,1494,MIYAPUR 2 DEPOT TO BALAJITEMPL
19K/224,1495,KPHB COLONY TO MIYAPUR 2 DEPOT
230D/189,1499,DUNDIGAL TO MEHADIPATTNAM
230D/189,1500,MEHADIPATTNAM TO DUNDIGAL
187DV,1503,KPHB 4TH PHASE TO NGOS COLONY
187DV,1505,NGOS TO KPHB 4TH PHASE
218/224,1510,MYTHRIVANAM TO MIYAPUR 2BUSDEPO
38S/47,1518,VBIT TO MYTRIVANAM
147,1523,LINGAMPALLY TO ECIL X ROAD
147,1524,ECIL X ROAD TO ALLWYN X ROAD
5K/251,1530,KEYS HIGH SCHOOL TO AIRPORT
5K/251,1531,AIRPORT TO KEYS HIGH SCHOOL
49A/251,1532,PRAYAKAT BHAVAN TO SHAMSHABAD
90L/251,1536,SECUNDERABAD TO SHAMSHABAD
90L/251,1537,SHAMSHABAD TO SECUNDERABAD
16H,1542,ECIL X ROAD TO SECUNDERABAD
16H,1543,RETHIFILE TO ECIL X ROAD
16H/47L,1544,ECIL X ROAD TO WAVE ROCK
16H/47L,1545,WAVEROCK TO ECIL X ROAD
16A/47L,1546,WAVEROCK TO ECIL X ROAD
17HN,1547,SECUNDERABAD TO ECIL X ROAD
17HN/47LI,1548,FLAGSTONE TO ECIL X ROAD
90D,1549,SECUNDERABAD TO DILSUKH NAGAR
16H/47V,1550,ECIL X ROAD TO VBIT
16M,1551,MALKAJGIRI TO SECUNDERABAD
16M/5M,1552,MALKAJGIRI TO MEHDIPATNAM
90L/47L,1553,LB NAGAR TO VBIT
17H/10H,1554,ECIL X ROAD TO WAVEROCK
17H/10H,1555,WAVEROCK TO ECIL X ROAD
113K,1557,UPPAL TO MIYAPUR 2 DEPOT
19M/288,1562,MIYAPUR 1 TO MEHDIPATNAM
225LV,1571,NGOS COLONY TO BHEL
225LV,1573,BHEL TO NGOS COLONY
113M/W,2125,UPPAL TO WAVE ROCK
113M/W,2127,WAVEROCK TO UPPAL
113M/K,2142,UPPAL TO LINGAMPALLY VIA KDP
